user_id,section_id,project_id,post_date,prompt,post_text,post_score,answer_date,answer_text,answer_score
9162,3,1,2019-02-09,Android - Text overlays icon on toggle button,<p><img src= http://i.stack.imgur.com/ruRGk.png alt= Expected result ></p> <p>I have a toggle button,0,2019-02-10,"<p>Actually its not working on lower APIs </p>

<p>Change </p>

<pre><code> android:button=""@drawabl",1
20676,3,3,2019-02-27,How do I change a hidden field's value with jQuery from another input text field?,<p>I have four input fields two text and two hidden.</p> <p>The HTML:</p> <pre><code>&lt;input type=,0,2019-02-27,"<p>A first fast solution for your problem.</p>

<pre><code>&lt;script&gt;
$(document).ready(function",0
12634,3,1,2019-02-04,Cake Bake error,<p>i am trying to use cakes baking console and when i use cake bake model all</p> <p>i am getting th,1,2019-02-04,"<p>Rather than baking it all at once, do it table-by-table and model-controller-view separately. Tha",1
9796,3,1,2019-02-05,How to catch new thread in gdb console mode?,<p>I am running my Qt app from gdb and i want to stop when new threads creates. (when gdb prints mes,1,2019-02-05,"<p>Probably what you want is
<code>catch syscall clone</code> (see here <a href=""https://sourceware.",4
9649,2,2,2019-02-23,Action bar : check platform version in Java,<p>I would like to check in which platform my app is running. </p> <p>To be more accurate I would li,0,2019-02-23,"<p>Use this: <code>android.os.Build.VERSION.SDK_INT;</code>
It returns the API level.</p>",2
13539,2,2,2019-02-16,How can I get the name of an image button in Android?,<p>How can I get name of an image button when I know its id?</p>,0,2019-02-16,"<p>You can follow the code snippet below:</p>

<pre><code>getResources().getResourceName(id);
</code",0
45067,2,2,2019-02-18,jquery: adding effect to changing contents of a selected element,<p>I am trying to add an animation effect to changing contents of a selected element.</p> <p>Like he,0,2019-02-18,"<pre><code>$('#check').click(function() {

    $('.text').html('Here is my text.').hide().slideDown(",2
24755,3,3,2019-02-27,How to extract latitude and longitude from Google Maps autocomplete,<p>I'm building an web app that uses this code to search for addresses:</p> <p><a href= http://code.,3,2019-02-27,"<p>You can use the Google API to get the Longitude and Latitude from your address.
As you already sa",6
15480,2,2,2019-02-21,How to increase time limit of ADB screen record of Android Kitkat,<p>I was using screen record functionality of ADB to record video of my application. It is very conv,8,2019-04-08,<p>On windows my trick is creating a <code>screenrecord.bat</code> file and running it. For 9 minute,12
28769,1,2,2019-02-13,How to retrieve the temperature value (from service) to AppWidgetProvider,<p>Hi am new to to android widget i Searched example to retrieve the temperature(its in service) to ,2,2019-02-16,"<p>In Service:</p>

<pre><code>            Intent intent = new Intent(this, MyProvider.class);
     ",2
40383,1,1,2019-02-28,How to implement good and efficient undo/redo functionality for a TextBox,<p>I have a TextBox which I would like to implement undo/redo functionality for. I <a href= http://s,17,2019-02-28,<p>The .NET <code>System.ComponentModel</code> namespace comes with an <code>IEditableObject</code> ,17
6412,2,3,2019-02-02,JSF + richfaces problems after submit,<p>I need to make a search page for some project. Input fields are:</p> <pre><code>&lt;h:inputText s,1,2019-02-03,"<p>it seems you need to add </p>

<pre><code>&lt;t:saveState value=""#{searchBean}"" /&gt; 
</code></p",2
26615,3,2,2019-02-10,Submitting html code without setting ValidateRequest to false,<p>I have a textbox and i want the user to be able to submit a youtube embed code. Is this possible ,1,2019-02-10,"<p>Html encode the text and put it in a hidden input before submit,
and then decode it on the server",1
6119,3,3,2019-02-10,iOS – AppDelegate as instance variable?,<p>Is it okay to have the AppDelegate as an instance variable in a <code>UIViewController</code>? Li,9,2019-02-10,"<p>Or you could do </p>

<pre><code>-(YourAppDelegate*) app
{
   return (YourAppDelegate*) [[UIAppli",14
31096,2,1,2019-02-16,Show a AlertDialog from a ContextMenu,<p>I have a ContextMenu in a ListView and it has the option of DELETE an item from the ListView. So ,0,2019-02-16,"<p>That's how Android works.  Graphical elements don't appear until the app redraws itself, which ha",0
961,1,3,2019-02-05,Send invitation emails on post_save or all at once in django view?,<p>There's a requirement in a web app I'm building about the possibility of the user sending join in,2,2019-02-05,"<p>If this is live application and user experience is important, then I suggest you avoid sending an",6
16311,3,2,2019-02-17,Multiple commands with different options using yargs/optimist,<p>I'm trying to write a CLI for a node module using <a href= https://www.npmjs.com/package/yargs re,1,2019-02-28,"<p>I just released the nargs feature for yargs, which gives you this capability:</p>

<p><a href=""ht",2
30330,2,2,2019-02-26,Long-term background task execution on iOS 6,<p>I'm creating an online-shop-style app where users can browse different products on their iPad and,0,2019-02-26,<p>There is no solution to what you want - there is no such thing as being able to periodically chec,2
31501,2,2,2019-02-23,Display a custom tag within the TinyMce WYSIWYG view,<p>I have a suite of custom tags in my application that abstract some of the common system tasks. </,2,2019-02-25,<p>I found a method that meets my needs and  turned out to be a little easier than constructing a pl,3
14110,2,3,2019-02-22,How do i get a tenth part of a second?,<p>I try to make something in swift and now i need to get a tenth part of a second from the system. ,0,2019-02-22,"<p>One nanosecond is 10<sup>-9</sup> seconds.
Just divide the nanoseconds by 10<sup>8</sup> to get t",1
45680,2,1,2019-02-03,XSLT - How to I correctly parse XHTML text,<p>I am trying to parse some HTML (XHTML of course!) documents into XML so that I can later process ,0,2019-02-03,"<p>It's hard to tell what exactly you want to achieve, based only on a small example and code that d",0
30249,2,2,2019-02-21,selenium : choose a div tag and text via python,<p>I started learning selenium couple of hrs back. I have div tag like this </p> <pre><code> &lt;div,0,2019-02-21,<p>In your case inside the <code>div</code> tag there is an <code>iframe</code>. In Web Driver if yo,1
9517,3,1,2019-02-14,Python parse an xml file pass result to array,<p>I am attempting to parse an xml file which I have accomplished and pass the results into an array,0,2019-02-14,<p>Python normally refers to arrays as <code>list</code>s and it looks like what you want is a list ,1
20144,3,2,2019-02-02,JSON Get request using JQuery (cross-domain),<p>I'm trying to make a simple JSON get request to an API on a domain that I do not control.</p> <p>,5,2019-02-02,"<p>The response from the API is JSON, not JSONP, so just changing the data type doesn't help.</p>

<",9
21771,1,2,2019-02-03,autocomplete in textbox inside same jsp page,<p>I am modifying the content. Data is being shown inside <code>&lt;div&gt;</code> country but how t,0,2019-02-06,"<p>See your function <code>stateChange()</code>, you are changing the value of <code>country</code> ",1
13658,1,3,2019-02-07,Parsing Innerxml in windows phone 7,<p>I have the following xml. </p> <pre><code>&lt;?xml version= 1.0 encoding= utf-8 ?&gt; &lt;catalog,0,2019-02-07,"<p>You can parse xml using LINQ queries. It's a bit tricky.</p>

<p>First generate some classes for ",0
17597,3,1,2019-02-10,Android Facebook SDK getting unexpected exception error,<p>I follwed facebook official guideline here <a href= https://developers.facebook.com/docs/sharing/,-1,2019-02-12,<p>the problem was my Facebook app outdated. once I updated  the app. now it's all working</p>,1
15822,1,1,2019-02-03,How to connect list of places with Google Map Points,<p>They are 2 separate entities atm:</p> <p><a href= https://jsfiddle.net/31b2tbpu/13/ rel= nofollow,-1,2019-02-03,"<ol>
<li><p>keep an array of markers so you can access them by index</p>

<p>var gmarkers = [];</p><",1
39063,1,1,2019-02-17,Why are my buttons off center?,<p>Here's an image of what I'm talking about:</p> <p><img src= http://i.stack.imgur.com/A89IR.png al,0,2019-02-17,"<p>Just add <code>vertical-align: bottom</code> to the emtpy elements.</p>

<p><a href=""http://jsfid",3
47642,3,2,2019-02-02,NoMethodError: Using already-defined named route in map.root call,<p>If I try the Root-URL of my Rails-App I get the following error:</p> <blockquote> <p>NoMethodErro,0,2019-02-02,"<p>You're not mapping your named route (company) to your root, you ARE mapping and undefined route (",2
28496,2,2,2019-02-10,Bucket Sort using pointers & Two Arrays of structures,<p>I am working on a phonebook application where I want to sort the nodes that represent each entry ,4,2019-02-10,<p>This really depends on how the entries are stored.  If you're storing each entry in a linked list,2
30084,3,1,2019-02-20,Processing: createShape returns null when called inside setup from eclipse,<p>I am migrating a working processing code into an Eclipse project because I want to use some andro,0,2019-02-20,"<p>I came across this question <a href=""https://stackoverflow.com/questions/16601675/pshape-2-08-thr",2
16465,1,1,2019-02-19,Sharing a database between Twisted and Django,<p>I am developing a multiplayer gaming server that uses Django for the webserver (HTML frontend use,8,2019-02-19,<p>First of all I'd identify why you need both Django and Twisted.  Assuming you are comfortable wit,10
39332,2,3,2019-02-05,PHP Str_replace is not working in foreach loop,<p>Here is my code.</p> <p>I am trying to get inspect link for steam item. I have tried to use preg_,-1,2019-02-05,"<p>As I can see you have array of arrays:</p>

<pre><code>// bracket squares equivalent of array() k",0
48302,1,2,2019-02-18,Unit testing a promise where the input params are invalid,<p>I'm trying unit test a promise [ q : ^1.1.2 ]; the following code works when the error is not bei,1,2019-02-18,"<p>Your code realy didn't return a Promise:</p>

<pre><code>return deferred.reject(new Error('itemId",0
29868,1,3,2019-02-13,Developing a custom on-screen display application for a laptop,<p>I would love to create a custom on-screen display app for my laptop seeing as the manufacturer-su,-1,2019-02-13,"<p>I use <a href=""http://www.autohotkey.com/"" rel=""nofollow noreferrer"">AutoHotKey</a> for this purp",2
37514,1,2,2019-02-12,How can I use reflection to invoke DbModelBuilder.Entity<T>.Ignore(x => x.Property)?,<p>I'm dynamically executing fluent mapping based on attributes on my poco classes and I have the .P,2,2019-02-12,<p>I think you need to get the <code>MemberInfo</code> for the <code>Ignore</code> method using:</p>,1
5643,3,2,2019-02-05,Handling D templated structs as a common type,<p>I'm in trouble on designing a D app. Maybe my approach is completely wrong so I come here to you ,5,2019-02-05,"<p>I'd have used a tagged union myself</p>

<pre><code>struct Token{
    Type type;
    union{
     ",6
4436,3,1,2019-02-09,Combining MySQL queries yields incorrect answer,<p>OK so we have a lot of sales data for each of our clients. I have been easily able to find the qu,0,2019-02-09,"<p>I think you can't just join these monthly tables, because they are not really related in that way",1
48989,3,1,2019-02-21,Android Action Bar Tabs Styling the Icon and Text together,<p>Firstly there is the image of my current tab bar <img src= http://i.stack.imgur.com/Q6s7y.png alt,5,2019-03-06,"<p>My solution isn't perfect, but to move the icons above the text here is what I have so far, which",6
45431,1,3,2019-02-07,Find all indices of maximum in Pandas DataFrame,<p>I need to find all indices where the maximum value (per row) is obtained in a Pandas DataFrame. F,4,2019-02-07,"<p>Here is the information, in a different data structure:</p>

<pre><code>In [8]: df = pd.DataFrame",4
4858,3,3,2019-02-28,Delete surrounding whitespace in vim,<p>I'm using the awesome <a href= https://github.com/tpope/vim-surround >https://github.com/tpope/vi,10,2019-02-28,"<p>Note: This solution requires the surround plugin referenced in the question.</p>

<p>For your spe",11
5463,1,1,2019-02-17,Extract contents of paragraph tag using a Perl one liner,<p>I would like to match the contents of a paragraph tag using a perl reg ex one liner. The paragrap,0,2019-02-17,<p><code>$</code> in matching part means 'end-of-the-string' and you need also match all in p-tag no,1
46066,1,2,2019-02-27,sql geography to dbgeography?,<p>Maybe I'm missing something. I have a sql server column of the Geography datatype. </p> <p>I want,12,2019-04-18,"<p>Sorry for the late response - but saw this whilst searching for something else.</p>

<p>Simply do",26
18702,3,1,2019-02-23,How to show a simple group by header while you enumerate an array in handlebars with ember?,<p>I have an array of ember objects that share a common attribute like group </p> <pre><code>var fir,5,2019-02-24,"<p>I ended up with this solution </p>

<pre><code>grouped_by: function() {
  var result = [];
  var ",2
9060,3,1,2019-02-14,UITextField start text from top when height is increased,<p>I have increased the height of <code>UITextField</code>. The problem is that although height is i,4,2019-02-14,"<p>you can use this...</p>

<pre><code>textField.contentVerticalAlignment = UIControlContentVertical",18
48121,1,1,2019-02-09,jQuery: looping array to compile url get variables and values,<p>I have an array in jQuery and I'm using <code>$.each()</code> to loop through the array. I'm tryi,0,2019-02-09,"<p>Try this</p>

<pre><code>var selectArr = [""numbers123"", ""more_array_values"", ""etc"", ""more""];
var ",1
7404,3,1,2019-02-06,How do I add pagination on jQuery Cycle 2 Div element slides?,<p>I am using jQuery Cycle 2 to create a slider <a href= http://slp.opteradev.com/plant-care/article,0,2019-02-13,"<p>Looking at your <a href=""http://slp.opteradev.com/plant-care/article/carmens-favorites"" rel=""nofo",1
34940,2,2,2019-02-02,content of NSData into NSArray/NSDictionary,<p>I have this:</p> <pre><code>- (void)viewDidLoad { [super viewDidLoad]; // Do any additional setup,1,2019-02-02,"<p>Try this:</p>

<pre><code>NSDictionary *dictionary = [NSJSONSerialization JSONObjectWithData:retu",1
9215,3,1,2019-02-16,How should database changes get picked up in LINQ and then bound XAML?,<p>There are lots of great articles and samples showing how to add INotifyPropertyChanged to the LIN,0,2019-02-16,"<p>You need SqlDependencies: <a href=""http://msdn.microsoft.com/en-us/library/system.data.sqlclient.",1
30854,2,2,2019-02-12,Best format to pack data for correlation determination?,<p>I'm using a Java program to extract some data points and am planning on using <code>scipy</code> ,1,2019-02-12,<p>Each dataset is a column and all the datasets combined to make a CSV. It get read as a 2D <code>a,1
14164,2,3,2019-02-18,AdMob with Cocos2d v3,<p>I am trying to integrate AdMob banner with Cocos2d v3 project but no luck:(</p> <p>All documentat,3,2019-02-18,"<p>Here is my <a href=""https://app.box.com/s/7lsxp9u4lam2rym6i2x8"" rel=""nofollow noreferrer"">Cocos2d",4
