user_id,project_id,submit_date,text,rating
8,1,1551225600000,"Best sandwich in town!! Super fresh and they have the ""mini.""  Just enough sandwich without all the bread. Yum!",2
9,2,1549324800000,"DROOL. 

Every time I want Middle Eastern food (and I am today but Seattle sucks for such thing thus far)....I think of Haji Baba. Introduced to me as one of the first restaurants I ate at when I was a freshman at ASU (wow that was 6 years ago-- I'm old). 

What I miss most is the chicken shawarma plate that I would order with salad instead of tabooli and hummus (no offense to tabooli-- it's great here but I'm not a fan). Their hummus is good because it is made with the right ingredients and it's simple. Hummus should be kept simple.  The shawarma garlic sauce with the sririacha-- is a true delight.  

What else is good: EVERYTHING! Falafel, gyro, shawarama salad, all their appetizers. Their lemonade is homemade and not too sweet. It has a weird flavor that gives it a "" what is this?"" appeal. Also in AZ when it's hot, drinks = must because the water sucks. 

Don't  forget to get a baklava. They have like 6 or 7 diff varieties and they are all delicious. You can also check out their small market which is a part of the restaurant and has a wide variety of middle eastern random goods and spices. 

Big portions (I always had lots of leftovers), cheap food and a simple approach. I MISS YOU HAJI BABA and I promise I will go back to you every time I visit.",2
23,3,1550793600000,"Ok, I haven't gone there in person yet, but their website alone gets 5 stars! I noticed something odd, though and I hope someone will indulge me. 

I started comparing the photos of the restored house with how the house looked in the movie. They did an amazing job, by the way. I was paying particular attention to the shed in the backyard.  Call me crazy, but it's not the same shed! I found that strange since they supposedly filmed those yard scenes on location, in the actual yard. 

1) In the movie, there is no door in the front (just some tools leaning against it), but the ""real"" shed has a door (and it looks just as old as the rest of the shed, not added later). 

2) In the movie, the small window in the front of the shed is way over to the left side, right against the corner of the shed. But in ""reality"" its closer to where the door is. 

3) Lastly, the ""real"" shed as a second window, on the right end of the shed. But in the movie there is no window there. What gives?  

I'm really not a Christmas Story ""freak"" (honest!) I'm just a little too observant I guess. :)",3
26,2,1550534400000,"I got the Gotham pizza to go. It costs $32 (comped).  When I picked up a slice, the ingredients started dripping off the pizza because the crust is paper thin.  So thin that my pizza was pointing downwards as I tried to eat it.  I had to use a fork to pick up my food.  Overall the pizza is very greasy and not as tasty as Papa John's for triple the price.

Next time, I will just use my comps on that new burger joint next to the poker room.",2
31,2,1550275200000,"First time here, ordered the Mushroom bisque and crab avocado melt.  The soup was so delicious, it wasn't that hot but warm enough.  The sandwich was great as well!  Great customer service and the chocolate dipped strawberry they include in your meal was a perfect little treat!  The fall specials look yummy so I plan to go back soon!",2
33,2,1550793600000,"I moved to Charlotte about 5 months ago and like many women, dreaded finding a new hairstylist, nail salon and eyebrow guru! I was used to paying $30 + plus tip but I didn't care; I take a lot of pride in my thick brows! 

In my search, I saw EWC. I visited EWC in my hometown as recommended by my best friend, but just wasn't impressed. However, Casey's name kept popping up and I thought I would give her a try. I am so glad I did because she IS amazing! I've now trusted her with my brows 4-5 times and each time walked out extremely happy. 

I was so happy after my first appointment but didn't want to rush to write a review. There are so many times I've had a good service but go back and it's just not the same. Casey knows what she is doing, but most importantly, her work is consistent.

I am so relieved to have found Casey! I will most likely be moving out of the Ballantyne area in the next few months, but I will continue to come back to her for my brows!",3
36,3,1551225600000,"Renovations are still underway, but outdoor drapes and curtains give the place a tropical, calssy, Jamiaca-meets-South Beach feel. The inside of the lounge now features a wooden dance floor, which helps the growing swing scene on Fridays.",2
37,3,1549756800000,"Poor customer service after the sale.  Bought a used vehicle from them and I knew id didn't have a warranty.  The speakers were blown which I didn't check because I trusted their inspection that showed everything was in working order.  At first they said they'd replace it for free and then they said I'd have to pay $100 toward the costs.  Now they are saying they won't do anything the remedy the problem.  They are not good for their word - make sure you get it in writing or they'll just try to accommodate you with words only not to follow through.  I just wish they were honest instead of making false promises to ""make things right"".",2
49,1,1549238400000,"If you want to feel like a spoiled princess, tell your man to take you here! Everything about this café is cute. The decorations, the teddy bears, the furniture, the pinkness of the whole place, and even the desserts. It actually feels kind of surreal. The best seats are the couches, it's comfy and cozy - great for cuddling ;)

The stairs to the café is located in the front and back of the plaza right on Yonge & Finch (same plaza as Crazy Wings). There is paid parking in the back, but because we always come here after 9pm, it's free parking in the front (on the streets). So don't waste that $3!  

Their menu is quite extensive in my opinion, at least extensive enough. The waffles were beautifully presented and really delicious! The princess waffle comes with fruits and a choice of 2 flavours of ice cream - green tea, strawberry, cookies & cream, chocolate, and vanilla. I love green tea ice cream, but I decided to go with strawberry and cookies & cream. Both were really good. The mixture of warm waffles and cold ice cream went really well together. None were overly sweet. My favourite hot drink from Café Princess would be the Sweet Potato Latte. As for cold drink, I love their Iced Green Tea Latte. Creamy and flavourful, sweet but not too sweet.

The best thing about this café is that they have board games for you in case it starts getting boring. Unfortunately, the board games are very limited and some have missing pieces. On top of that, each board game you bring back to your table, you will be charged $2.50. So I suggest you either think hard before choosing which game you really want to play or bring your own games (no charge).",2
55,3,1549670400000,"Came in after years of not coming in,boy I sure am sorry I ever stopped coming in, the veal on a fresh bun oh to die for, the hot sausage on a bun my husband just loved was ready to go back last weekend for another one. Waited till we went back in on last Wednesday. The bread ohh so fresh and good,pastry my downfall lock me in the store pleaseeee.
Lazio the place to go very friendly polite and very helpful helping use my walker in the store,lots of room, the staff do not rush you.
The best Lazio Italian Bakery around.",2
