user_id,section_id,submit_date,text,rating
4,2,1550880000000,"Maria is VERY good at what she does with great prices, too! I've always had a hard time finding someone to fix my jeans just right and she did it! I'm short with a small waist and a bit of a butt :) So that means every pair of jean I get have to be altered.  And Maria does a wonderful job with reasonable prices.  She's done more than10 pairs of jeans and a few shirts and only one needed fixing.  I even lost weight and had to get a pair redone, it was a bit of a challenge but she did a beautiful job.",3
13,1,1549584000000,"Who knew?
 
I did! 

I remember eating many many many times way back in the early childhood of Chipotle back in Denver. Like the picture on the wall in every Chipotle. (yep on evans and university) I had a feeling this place was going somewhere and Chaching!

Anyway, long story short, as we all have eaten at a Chipolte somewhere. It simply is the best quick healthyish mexican there is period! 

On a side note if you are one of those wierd vegan people this is my favorite burrito (veggie fajita black w/ all the salsas no queso or crema greens and of course 3 lbs of guac!) Yuuuuuuuuuuuuummmmmmmmmaaaaaeeeeeee!!!!!",3
14,3,1549670400000,"I stayed here back in April. Friday-Sunday. It's a nice hotel and the room had a great view. This is just another building that is part of the Palms. It has no casino and is just used for rooms. 

We had the two room suite with 3 bathrooms, and 2 full kitchens. The main bathroom had a huge shower. I swear you can fit around 12+ people if thats what you want to do ;) They also have a tub in the middle of the room so you can watch your girl take a bath? lol The place was beautiful but was it worth the $2000?? I'd say yes, but the only major downside is that it's far from the strip. Would I do it again? Probably not since you can get a nice suite for the same price at a nice hotel and be on the strip. Another downside was that you cannot go out onto the patio. They lock all the sliding doors. That was a big downside for me!",2
22,2,1550361600000,"I was staying at the Hilton next door and got access to the YMCA.  Nice!  One of the days, I woke up with a sore throat.  Headed to the gym anyways, but started coughing horribly just as I checked in.  Had to walk out to clear my throat then went back in and hopped on an elliptical machine.  The lady at the front desk was so nice!  She brought me a cup of water because she noticed that I was coughing so much earlier.  

Amazing service!  Now I wish I belonged to a YMCA back home.  Going to have to look into it for sure.",2
26,1,1550275200000,"I love Bouchon. It's still my favorite place to go hands down. They are extremly fresh and have excellent service. I ate at the bouchon in Beverly hills and didn't encounter a single difference in food quality in Vegas. The food has always been delicious and this one time I went we ordered practically everytihng. From the bakery basket in which the waiter chooses for us a selection of baked goods to the mussels to the hash. 

Everything was delicious. And you can't beat the price around 20-30 a person with small apps. Or aroudn 40-50 if your drinkin a little. Very reasonable for what your getting.

Take a peek at my photos.

Thanks Thomas Keller for a great meal again!",2
32,3,1550448000000,"The whole experience is awesome. They start you off with silly anouncements from the gate. In other words, the staff is friendly, spontaneous, and well, AWESOME. It's a small plane, though, so whether you're travelling a short (ie from San Francisco to Vegas) or longer distance (SF to New York), then Virgin America is the way to go.  

I guess the airline is famous for its mood lighting which is relaxing. They have a really cool in-flight entertainment system - touch-screen, on-demand movies, live satellite TV, radio, etc. So if you're flying, better bring your own headset coz they sell theirs for $2. To sum it up, the experience was so darn good that I wish I had more time on the plane.",2
34,1,1550534400000,I'm traveling from out of town. It's amazing! Best massage I've ever had! Most definitely will be my new go-to place no need to look any further.,2
43,1,1550534400000,"this place is lame! my boyfriend and i decided to check it out because it was their very first 80s night and some dude working for the club gave us a free pass.

so we waited in line about a half an hour, dealt with the rude doorman, got in and um. not much else to be said. 

""80s night"" was going on outside on the patio, and they were playing the worst of the 80s. bad 80s/hip hop mash ups were going on inside with trashy mid-westerners dancing on tables.

we chugged our drinks and were in and out in about 10 minutes.",2
44,3,1549238400000,I really enjoyed my stay at this very reasonable hotel.  The rooms are very spacious and clean.  I really didn't expect to get a warm continental breakfast included at the price I paid for the room.,1
46,1,1550620800000,"Hands down, the BEST kabobs in Vegas. 

I stopped here late after work one night on the way home after having passed it at least a thousand times, and decided to give it a try. I went in, placed my order, and after about 15 minutes, was on my way home. 

The inside is cozy, there is a new hookah lounge upstairs (not technically the same business), for those who might be interested in that. The tables inside were pretty low key, but the kitchen area is open except for some glass, so you get to watch your food prepared while you wait which is always a nice touch. Some people don't like that, but I do, it forces restaurants to practice more hygienic practices because customers can see more. 

The young lady who rang me up was helpful and friendly. The gentleman who gave me my food, apologized for the wait (15 minutes is not long in my book, but maybe for some it is), and said that calling ahead is a great option if you're ever in a hurry in the future. 

I ordered a lamb and chicken shish kabob. They were both DELICIOUS. Many kabobs in this city are incredibly bland and under seasoned, definitely not the case here. The rice was also well flavored. The green sauce that was at the counter where you pick up your food was perfectly spiced and I put it on EVERYTHING! I appreciate the fresh lemon wedge that was included in my to-go container. 

My only real complaint was the price. It was more than $17 for two kabobs, which I thought was on the expensive side. If they took their prices down around $2, I'd be here way more often that is good for my wallet...",2
47,1,1548979200000,"I purchased the Groupon and I honestly shouldn't have. I could've painted my nails better at home and saved $30. It was a rush job. The nail polish isn't even covering the full nail on some nails and other nails, the polish covers the entire nail and a lot of skin too. I had to ask her to clean up the nail polish on both my hands and feet. A customer should never have to ask that question, the nail tech should be able to see that themselves and fix it. Well, she cleaned it up... and there is still polish on my skin surrounding my nails. Needless to say, I won't go back.",2
50,3,1549929600000,"I used to go this office, but as other reviewers have noted, they made a pair of glasses wrong (one lens blurred, could not read with that eye), and then told me, well, your other eye will compensate so you can still read. Really???? What a great way to handle an error in the production of the glasses.  When I objected to being relegated to reading with one eye with my new glasses, the reply was...""Well, then you'll have to see the Dr. again, and no, he is not available now.""  No offer to look up his schedule and see when I could see him again, or see if another Dr. could see me then to resolve it.  After the poor response to the problem (you would think they would have some professional way to deal with when glasses come back from the mfr/lens maker and there is an unexpected issue).  I told them I'm not a patient here any longer and took my useless glasses home and resolved to find a quality optometry office and start over.  I did call back and spoke with an Office Mgr, who stated she would look into the matter and get back to me, but never did.  So I called again and toild them to toss my file out and not contact me again for any future appts. 
 Another thing about their exams.....as part of your exam, they offer to take optional (extra cost) retina photos so you can also have a look at your retinas on a computer screen with the Dr., using a clumsy cube-shaped camera. You sit there and they have you smush your face up against a flat glass panel on the front while they take repeated attempts to get a good photo of your retina. They charge extra if you want this option. Then they raised the price, and I declined due to raising the price. They were charging plenty for that option already.  I moved to a different office that does not charge anything extra at all for the retina photos, and uses a better camera than the camera cube, so no more smushing my face against a flat glass window.
(Note: using fake name here for privacy protection from internet identity thieves.)",2
53,3,1550793600000,"I normally don't bother with dealing health stores but I have wanted to try out a hydrogen peroxide therapy to help detox the body and I didn't want to wait 5 days for shipping from amazon and this place popped up.

It was relatively close to where I was and whole foods doesn't carry the 35% h2o2 so I stopped by here. Even though the parking was horrible, the store was pretty open and I was greeted by the owner (or I think it was the owner) and he was very friendly.

I asked for my 35% food grade peroxide and he had some, and it was way cheaper than paying for it on amazon.

5 stars for being clutch, and for having cheap prices. 

This is a mom and pop store, check them out if you are in the area.",2
56,3,1549843200000,"the most low quality catering in persian catagory. we had party on persian new year and every one paid for the food to be cater through this place.
the food was not even enough for everybody and the quality was bad.
I feel so bad for this business,",2
63,3,1551225600000,"Parking is tough to get here so I don't get to go much. I also get a little cautious sometimes as they frequently have multiple questionable looking characters.

Pro's:
- Legendary fries that used to be super huge and gave you great value for your buck
- Good burgers
- If you drink, it looks like they have a lot of different kinds of alcohol

Con's:
- Customer Service? Hahaha. Not here. If you can get more than a fart out of one of the twin's working there, you are ahead of the pack.
- Dirty, messy tables, crap everywhere.
- Many questionable characters here. Someone once asked me if I wanted to buy stolen jewelry off them while I was eating. I'm being totally honest too.
- Their french fry portions have gotten smaller. They used to need two baskets for a large fry and now only need one.
- Really expensive hot dogs. 
- They have strict limits on ketchup. No I'm not joking. 2 for large fries, 1 for anything less.

I do recommend getting their legendary fries at least once and I do recommend the egg burger, but get it to go and go when it is light out.",2
64,3,1549497600000,"My dog nips at men so I was terrified of having a man groom.  But she sheds a lot so my fiancé made the appointment and I'm glad he did.  First off, the prices are a steal.  Secondly, the man who groomed her was amazing he was super nice and my dog was calm with him.  My chihuahua/terrier usually has a lot of anxiety around people and she was nervous at first but didn't bite and by the time I came back she was really calm.  We came in to get her trimmed so she wouldn't shed so much over the summer and he did a really good job.  I will definitely be back!",2
68,2,1550880000000,I've been going to Bihlu and Kusums restaurant for over 25 years. The original location was at about 52nd McDowell(it was a treat after squaw peak hike with da)( but they have been at the current location for probably the last 20 years. They have a good mix of North Indian and South Indian food. Masala dosas have always been one of my favorites things to get. The vegies and sambar are always fresh as well. The title may not say it here but they are just as famous for all the amazing sweets they make as well. Indians from all over town order it by the tray but if you arent sure what you want to order ask them to sample it. Jalebi barfi and laddu are some of my go to's. I'm an american born and raised indian so I'm suggesting some of the more tame whitewashed options. The service is quick and the staff is always attentive. You'll see an crowd of ASU kids definitely during cricket matches but they also have indian music videos playing throughout the day. Before I forget my favorite thing to get from there to go is pani puri!. Picture a cracker like hollow bubble with potatoes chickpeas and a spicy sauce. yes my mouth is watering just describing it. I put in mint chutney and tamardind chutney. Im confident you have will a few items that you love and will have again and again.,1
